japanese,translation
水泳,swimming
混む,"be crowded, be congested"
スカート,skirt
取れる,"come off, be removed"
ペン,pen
物,"thing, object"
郵便,"mail service, postal mail"
割れる,"crack, split"
駅員,station attendant
おしゃべり,"talkative, chatty"
緑色,green color
毎朝,every morning
曲げる,bend (something)
きっと,"surely, certainly"
理科,science (school subject)
下着,underwear
太る,"grow fat, gain weight"
冷房,air conditioning (cooling)
別れる,"separate, part"
空く,become available or vacant
出掛ける,"go out, leave home"
毎晩,every evening
指輪,ring
腐る,"rot, go bad"
貧乏,"poverty, destitution"
おしゃれ,"trendy, fashionable"
休憩,break
舌,tongue
ジュース,juice
ゼロ,"zero, none (loan word)"
朝刊,morning edition paper
丁寧,"polite, careful"
苦手,"not good at, be bad at"
日,"(specific) day, sun, daytime"
引っ越し,moving (house)
歩道,"sidewalk, pavement"
折れる,"break, snap"
見送り,send-off
夕刊,evening edition paper
この間,"the other day, not so long ago"
冷える,"cool down, get chilled"
ピンク,pink
グラス,glass
毛,"hair, down"
黒板,blackboard
積もる,pile up
半年,half a year
現在,"the present, present time"
利用,"utilization, usage"
方法,"method, procedure"
中心,"center (of a circle, etc.), core"
明らか,"clear, obvious"
社長,president (of a company)
ほぼ,"almost, nearly"
商品,"goods, commodities"
大型,"large, large scale"
限る,be limited to
記録,"record, documentation"
具体的,"concrete, specific"
効果,"effect, result"
公開,opening (to the public)
作品,"work of art, creation"
迫る,"close in on, approach"
大会,"tournament, event"
背景,"background, backdrop"
文字,"character, letter, writing"
規則,"rule, regulation"
近所,neighborhood
グラフ,"chart, graph"
首都,capital
減らす,reduce (something)
隠れる,hide
美術館,art museum
ばか,"foolish, stupid"
暇,"free time, spare time"
絵葉書,picture postcard
あんなに,"that much, such"
行き,"going, bound for"
通勤,commute
ちゃんと,"correctly, properly"
のんびり,take it easy
緊張,"tension, strain"
気付く,"notice, realize"
物語,"story, tale"
出口,exit
登る,"climb, go up"
真っ白,pure-white
下ろす,"bring down, take down"
貸し出す,"lend, lend out"
サッカー,"soccer, football"
暖房,heating
手袋,gloves
留守,not at home
嘘,lie
遠慮,"restraint, hold back"
折る,"break (something), fold (something)"
スープ,soup
バナナ,banana
可哀相,"poor, pitiful"
パトカー,police car
ハンバーガー,hamburger
毛布,blanket
エスカレーター,escalator
お嬢さん,"young lady, daughter"
手帳,pocket notebook
タオル,towel
売店,"booth, shop"
パチンコ,pachinko (Japanese pinball)
謝る,apologize
ケーキ,cake
天気予報,weather forecast
変,"strange, weird"
一生懸命,"hard-working, doing one’s best"
間違う,"make a mistake, be wrong"
事務室,office
スーツ,suit
チケット,ticket (loan word)
チョコレート,chocolate
脱ぐ,take off (clothes)
年賀状,New Year’s card
乗り物,"vehicle, transportation"
布団,Japanese-style padded mattress
役に立つ,"be useful, be helpful"
破れる,"tear, rip open"
用事,"errand, business"
写す,"copy, photograph"
腕時計,wrist watch
贈り物,"present, gift"
チャンネル,channel
冷やす,"chill (something), cool down"
片付ける,"put in order, clean up"
乾杯,"toast, drink (in celebration)"
停車,stop (of a train)
鳴く,"sing, cry (of animals)"
ガソリンスタンド,gas station
片道,one way (trip)
交番,police box
大分,"greatly, fairly, highly"
デート,"date, romantic meeting"
梅雨,rainy season
真っ直ぐ,straight
レモン,lemon
上着,"outerwear, coat, jacket"
偉い,"great, eminent"
書き方,"how to write, way of writing"
炊く,cook (rice)
チーズ,cheese
ドライブ,drive (loan word)
踏切,railroad crossing
ラケット,racket
受付,"receptionist, information office"
怒る,"get angry, scold"
化粧,makeup
都合,"convenience, availability"
ひげ,"beard, moustache"
本棚,"bookshelf, bookcase"
真っ暗,pitch-dark
沸く,"boil, get loud (crowd applause etc.)"
売り切れる,"sell out, go out of stock"
押し入れ,sliding-door closet
革,leather
ぐっすり,soundly
紅茶,black tea
邪魔,"disturbance, blocking"
ソース,sauce
足す,add (things of the same kind)
トマト,tomato
バター,butter
発車,departure (of a vehicle)
バレーボール,volleyball
おかず,dishes to go with the rice
カレンダー,calendar
とにかく,"in any case, anyway"
楽しみ,"enjoyment, something looked forward to"
おしゃべり,"chatter, idle talk"
読書,reading books
寒気,chill
夕焼け,sunset glow
傷める,"damage, hurt"
くすぐったい,ticklish
泥棒,"thief, burglar"
襖,paper sliding door
美人,beautiful woman
タイプライター,typewriter
再来年,the year after next
冗談,joke
近付く,"approach, come close"
電話帳,telephone book
ベル,bell
干す（ほす）,hang (something) out to dry
金額,"amount of money, sum"
蚊,mosquito
悲しむ,"feel sad, lament"
クーラー,air conditioner (cooling)
失礼,"rudeness, to excuse oneself"
洗濯機,"washing machine, washer"
豆腐,tofu
昼寝,nap
不便,inconvenient
ミルク,milk (loan word)
向こう側,other side
億,hundred million
お礼,"thanks, gratitude"
着せる,dress (someone)
サラダ,salad
代える,substitute for
四角,square
急行,express train
交差点,"crossing, intersection"
覚める,"awake, wake up (naturally)"
昼休み,lunch break
ベルト,belt
真っ黒,"black, jet-black"
皆様,"everyone, ladies and gentlemen"
ラーメン,ramen (Chinese noodles)
ライター,lighter
ワイシャツ,"business shirt, dress shirt"
転ぶ,"fall down, fall over"
シャワー,shower
扇風機,electric fan
遅刻,"tardiness, lateness"
釣る,"fish, catch"
うどん,Japanese wheat noodles
仮名,kana
記念日,"memorial day, anniversary"
下り,"downhill, going down"
掲示板,"notice board, bulletin board"
凍る,freeze
ごみ,trash
スーパーマーケット,supermarket
ぶらぶら,"wander, walk around"
アナウンサー,announcer
自炊,cooking (for oneself)
止める,stop (something/someone)
年下,"younger, junior"
治す,cure (something)
箸,chopsticks
花見,flower viewing
引き出し,drawer
訳,translation
いかが,how
交通費,"traveling expense, transportation fee"
ステレオ,stereo
再会,"meeting again, reunion"
滑る,"slide, slip"
早口,speaking fast
裏返す,"turn over, turn inside out"
角,"corner, edge"
きらきら,"sparkling, glittering"
三角,"figure, area etc."
激しい,"violent, intense"
経営,"management, operation"
拡大,"magnification, enlargement"
姿勢,"posture, attitude"
周辺,"area, region"
他,other (Chinese origin)
達する,"attain, reach"
当時,at that time
当然,"natural, as a matter of course"
能力,"capability, performance ability of machine, etc."
判断,"judgment, decision"
過ぎる,"pass by, go past"
正確,"accurate, precise"
戦争,war between countries
放送,broadcasting
習慣,"custom, habit"
フィルム,film
受け付ける,"receive, accept"
ダンス,"dance, dancing (loan word)"
こんなに,"this much, such"
吹く,"blow, play (a wind instrument)"
まあ,well (interjection)
メール,e-mail
インターネット,Internet
出身,"come from, origin"
職業,"occupation, job"
スター,star
くだらない,"worthless, trifling"
名簿,name list
通常,"common, usually, typically"
家内,one’s wife
消防署,fire station
再び,"again, a second time"
大統領,president (of a country)
入場券,entrance ticket
ネックレス,necklace
パジャマ,pajamas
ボールペン,ballpoint pen
かゆい,itchy
覚ます,"awaken, wake up"
すいか,watermelon
そば,buckwheat noodles
特急,super-express
のり,"glue, starch"
大抵,"generally, mostly"
バスケットボール,basketball
酔っ払う,get drunk
どきどき,"feel excited, feel nervous"
欲しがる,"want, desire (of the third person)"
早起き,getting up early
味噌汁,miso soup
読み方,"how to read, way of reading"
入り口,entrance
降ろす,"unload, set down"
掛かる,hang
サンドイッチ,sandwich
四角い,square-shaped
突き当たる,"run into, come to the end (of a road)"
乾かす,dry (something)
定期券,commuter pass
にこにこ,"smilingly, keep smiling"
下る,"go down, go away from"
ウール,wool
コーラ,"cola, coke"
トイレットペーパー,toilet paper
乗り換え,"transfer, change (trains)"
灰皿,ashtray
ハム,ham
床,floor
ローマ字,Roman alphabet
いちご,strawberry
カレーライス,curry rice
キャッシュカード,cash card
停留所,(bus) stop
床屋,"barber, barbershop"
歯磨き,brushing one’s teeth
夕飯,"evening meal, dinner"
酔っ払い,"drunkard, drunk"
例,example
お辞儀,bow
横断歩道,"pedestrian crossing, crosswalk"
ぐらぐら,"shaky, unstable"
航空便,"airmail, airfreight"
ジャム,jam
スリッパ,slippers
畳む,"fold, shut, close"
トランプ,playing cards
日陰,shade of the sun
文房具,"stationery, writing materials"
免許証,license
訳す,translate
よろしい,all right
両替,money exchange
片付く,"be put in order, be finished"
カップ,cup
消しゴム,eraser
スケート,"skate, skates"
鍋,pan
寝坊,oversleeping
鋏,scissors
真っ青,"deep-blue, pale"
汚す,make (something) dirty
忘れ物,"something left behind, lost item"
掛け算,multiplication
臭い,stinky
突き当たり,end of a street
マフラー,"scarf, muffler"
桃,peach
アクセサリー,"accessories, jewelry"
あくび,yawn
あめ,candy
上り,"going up, ascent"
なるべく,"as…as possible, if possible"
じっと,"without moving, still"
食器,tableware
延ばす,"extend, postpone"
薬局,"drugstore, pharmacy"
雄,male (animal)
雌,female (animal)
和風,Japanese inspired
いびき,snoring
ピクニック,picnic
地域,"region, area"
勘違い,"misunderstanding, wrong idea or assumption"
重要,"important, essential"
主人,"one’s husband, master"
お宅,(someone else’s) home
ハイキング,hiking
畑,"field, farm"
ボーイフレンド,boyfriend
イヤリング,earrings
ガールフレンド,girlfriend
柔らか,"soft, gentle"
納豆,fermented soybeans
別に,"particularly, not really"
どうしても,"by any means, really"
父親,father
誘う,"invite, ask out"
母親,"mother, female parent"
昼前,"in the morning, before noon"
ふらふら,"be dizzy, lightheaded"
こぼす,spill (something)
持ってくる,bring
振り向く,"turn around, look back"
洗面所,"washroom, bathroom"
外側,"exterior, outside"
段々,"gradually, little by little"
包む,"wrap, pack"
無くなる,"get lost, go missing"
豚,pig
褒める,"praise, compliment"
沸かす,boil (water)
暖める,warm (something) up
換える,"exchange, convert"
安っぽい,"cheap-looking, tacky"
ぎらぎら,"glaring, blinding"
何とか,"somehow, please"
いよいよ,"finally, any moment"
がらがら,not crowded
缶詰,canned food
怪我,injury
寒さ,"coldness, cold"
祝日,holiday
すき焼き,sukiyaki
葉書,postcard
掃く,sweep
何しろ,"anyhow, as you may know"
どんどん,"quickly, rapidly"
ぺこぺこ,"hungry, starving"
ぺらぺら,fluently
レインコート,raincoat
アイス,ice cream (for short)
塩辛い,salty
セロテープ,scotch tape
大幅,"drastically, substantially"
教育,education
工事,"construction, repairing"
担当,person in charge (of official duties)
法律,law
丸,"circle, round"
発表,announcement
研究,"research, study"
一方,"one way, the other party"
国内,"domestic, internal"
全体,"whole, total"
後,"after, afterward"
人間,human being
刺身,sliced raw fish or meat
ばら,rose
ねずみ,"rat, mouse"
以下,below
昔,"old times, the old days"
訳,"reason, sense"
違い,"difference, mistake"
しっかり,"mature, responsible"
将来,"future, in the future"
不思議,"mystery, wonder"
決して,"never, by no means"
失敗,"failure, mistake"
番,"one’s turn, watch"
出会う,"meet, encounter"
悩む,"be troubled, suffer"
汗,sweat
すっかり,"all, completely"
代わり,"substitution, alternative"
一言,"single word, brief speech"
豊か,"rich, ample"
接続,"connection, joining"
抱える,hold in one’s arms
エンジン,engine
少女,young girl
無駄,"pointless, waste"
自動,automatic operation
先輩,"senior, superior"
眺める,"look out, gaze"
書類,"documents, papers"
年月,"years, period of time"
燃やす,burn (something)
線路,"railway track, line"
水着,"bathing suit, swimsuit"
可愛らしい,"lovely, charming"
仲良し,good friend
梅干し,pickled plum
ドレス,formal dress
尽くす,"make utmost efforts, devote to"
地球,the earth
不親切,"unkind, inconsiderate"
からから,"very thirsty, very dry"
本箱,bookcase
横書き,horizontal writing
そば屋,buckwheat noodle shop
加工,processing
実験,experiment
愛する,"love, care for"
あんまり,"(not) that much, (not) so much"
いきなり,"all of a sudden, suddenly"
表,"front, outside"
汚れ,"dirt, blot"
間,"interval, space between things"
紫,purple
灰色,"ash color, gray"
血,blood (colloquial)
顎,"jaw, chin"
始めに,"in the beginning, first"
暖まる,get warm
お世辞,"compliment, flattery"
袋,"bag, sack"
長袖,long sleeves
半袖,short sleeves
形,"shape, form"
景色,natural scenery or landscape
ざあざあ,pouring
再来月,the month after next
泊める,let (someone) stay over
叱る,"scold, reprimand"
騒ぐ,"make a noise, make a racket"
車道,"road, roadway (for cars)"
掃除機,vacuum cleaner
剃る,shave
貼る,"stick, paste, put"
台,"stand, table"
主に,"mostly, predominantly"
倒す,"knock down, overthrow"
星,"star, planet"
長女,eldest daughter
爪,"nail, claw"
缶,"can, tin"
とんとん,"tapping, patting"
袖,sleeve
濡れる,get wet
パーセント,percent
上がる,"go up, increase (in quality or quantity)"
拍手,"applause, clapping"
弾く,play (instruments)
ひも,"laces, string"
昼過ぎ,early afternoon
船,"ship, vessel"
まく,"scatter, sprinkle"
姪,niece
個人,individual person
歌手,singer
社員,"staff member, employee"
不動産屋,real estate agent
最大,"biggest, largest"
動き,"movement, motion"
事件,"affair, incident"
過去,the past
協力,"cooperation, collaboration"
時期,"time, season"
経つ,"pass, elapse"
雷,"thunder, lightning"
責任,responsibility
願う,"wish, desire"
発見,"discovery, revelation"
気,"spirit, temperament"
美容院,hair salon
状況,"state of affairs, conditions"
目的,"objective, purpose"
企業,"corporation, business"
釣り,fishing
漫画,"comics, cartoon"
温泉,hot spring
トレーニング,"training, workout"
噂,"gossip, rumor"
本物,"real, truly worthy (things, people)"
アイデア,idea
地下,underground
マーケット,market
スケジュール,schedule (loan word)
出張,business trip
コック,"cook, chef"
正午,noon
ブラシ,brush
書き取る,"write down, note down"
歓迎,"welcome, greet"
開発,development
郵便屋さん,mail carrier
会長,"president, chairperson"
金,gold
灰,ashes
骨,bone
風呂屋,"bathhouse, public bath"
細か,"small, fine, detailed"
行き,"going, bound for (traditional reading)"
人々,people
寺,temple
鶏,"rooster, hen"
港,"port, harbor"
移る,"move, shift"
異なる,differ
提供,"offer, provide"
市民,citizens
患者,patient
元旦,"morning of the January 1st, New Year’s Day"
柔らかい,"soft, gentle"
似合う,"suit, match well"
確かめる,"check, confirm"
背中,(one’s) back
肌,"human skin, surface"
順番,"order, turn"
まとも,"sane, reasonable"
ぴったり,"exactly right, perfect"
思わず,"unintentionally, unconsciously"
より,"even more ~, even less ~"
もったいない,"wasteful, a shame"
情報,information
諦める,"abandon, give up"
懐かしい,"fondly-remembered, long-forgotten"
怪しい,"suspicious, dubious"
示す,"show, indicate"
たっぷり,"fully, amply"
早速,"immediately, right away"
偶然,"by chance, coincidence"
続き,"continuation, sequel"
合計,"sum, total"
傷,"wound, scar"
面倒,"troublesome, difficult"
具合,"condition, health"
中止,"suspension, cancellation"
手続き,"procedure, proceeding"
結果,"result, outcome"
建設,"construction (of a building, road, bridge, etc.)"
販売,"sale, selling"
機能,"function, feature"
頃,"time, the time when ~"
日中,during the day
今後,"in the future, from now on"
影響,"influence, effect"
分野,"field, area"
関する,"relate to, regarding"
状態,"state, condition"
価格,"price, value"
姿,"figure, appearance"
期待,"expectation, anticipation"
除く,"remove, exclude"
一般,"general, common"
表現,expression
完成,"completion, finish making or building something"
変化,"change, alteration"
参加,participation
土地,land
検討,examination and consideration
開始,beginning
備える,"provide for, prepare for"
内容,content
与える,give (formal)
広がる,"spread out, extend"
事実,"fact, truth"
決定,decision
住宅,"housing, residence"
代表,representative
命令,"command, order"
立場,"standpoint, position"
なお,"still, in addition"
計算,calculation
可能,"possible, potential"
報告,report
都市,"city, town"
政治,politics
競争,competition
原因,"cause, origin"
活動,activity
歴史,history
表,"table, list"
サイト,website
土産,souvenir (plain)
臭い,(bad) smell
現金,cash
虫,"insect, bug"
寄る,"stop by, stop off"
田舎,"hometown, countryside"
帰宅,"return home, come home"
重大,"important, serious"
マイナス,"minus, below zero"
稼ぐ,"earn, make money"
左右,right and left
痛み,"pain, ache"
誤解,misunderstanding
文句,"complaint, grumble"
欧米,Europe and America
面接,interview
サイン,"signature, autograph"
年中,all year
機嫌,"mood, health"
居間,living room
度々,often
例文,example sentence
怠ける,"be lazy, slack off"
転勤,"change of job location, relocation"
政府,"government, administration"
所有,"ownership, own"
いずれ,"sometime later, eventually"
対する,"face, be in response to"
教会,church
ご存知,know (honorific)
雀,sparrow
適当,"proper, adequate"
残り,"rest, leftover"
戻す,put (something) back
体重,body weight
どうせ,anyway
あれこれ,"this and that, one thing or another"
湖,lake
とうとう,"finally, in the end"
負け,"defeat, loss"
悔しい,"frustrating, regrettable"
姉妹,sisters
助かる,"be helped, be rescued"
手前,in front
さっぱり,completely not
ついで,"on the way, to take the opportunity"
すっきり,refreshed
とんでもない,"unthinkable, outrageous"
坂,"slope, hill"
飛び込む,"dive into, jump into"
コメント,comment
書き直す,rewrite
看護婦,female nurse
就職,"finding a job, getting a job"
糸,"thread, yarn"
売り場,"sales floor, department"
校長,"principal, schoolmaster"
見学,field trip
進学,advance to higher education
退院,discharge from hospital
テント,tent
踊り,"dance, dancing"
植える,"plant, sow"
幼稚園,kindergarten
エアメール,airmail
四季,the four seasons
ナイロン,nylon
消防車,fire engine
ハンドバッグ,handbag
農業,agriculture
アイロン,iron (for clothes)
ラッシュアワー,rush hour
速達,"special delivery, express delivery"
予習,"preparation, previewing (a lesson)"
書留,registered mail
深さ,"depth, profundity"
ウィスキー,whisky
シャープペンシル,mechanical pencil
取引,"transaction, deal"
設ける,"set up, establish"
一定,"fixed, certain"
記者,"journalist, reporter"
基準,"standard, criterion"
傾向,"tendency, disposition"
契約,"contract, agreement"
産業,industry
事情,"circumstances, conditions"
実行,"practice, execution"
組織,"organization, structure"
逮捕,"arrest, capture"
程度,"degree, extent"
同様,"similar, the same as"
要求,"need, demand"
貿易,(export and import) trade
輸出,export
商業,"commerce, trade"
船便,"surface mail, shipping service"
選挙,election
住民,resident
出席,"attendance, presence"
発言,"utterance, remark"
伴う,"accompany, entail"
採用,"employment, adoption"
処理,"handling, processing"
解決,"solution, settlement"
全国,the whole country
作業,"work, operation"
生産,production
管理,"management, administration"
増加,"increase, rise"
特徴,"distinctive feature, characteristic"
強調,"emphasis, stress"
制度,system
株,"stock, share"
加える,add (things of the same or different kinds)
強化,strengthening
設計,"design, plan"
段階,"stage, phase"
行う,"do, carry out"
経済,"economy, economics"
工場,"factory, plant"
技術,"skill, technology"
施設,"facilities, institution"
神,God
人口,population
党,"party, faction"
輸入,import
煮る,"simmer, cook"
コンサート,concert
ガソリン,gasoline
パンツ,"pants, trousers"
そっくり,almost identical
名刺,"business card, name card"
いちいち,"every time, about everything"
しつこい,"persistent, pesky"
喉,throat
身長,height
何で,"why, what for"
味噌,soybean paste
気の毒,"pitiful, poor"
そっと,"softly, gently"
こっそり,secretly
うっかり,"carelessly, accidentally"
わざと,on purpose
がっかり,"disappointed, disappointing"
ぼんやり,"vacantly, absent-mindedly"
酢,vinegar
羨ましい,"envious, jealous"
捕まえる,"catch, arrest"
ちっとも,not at all
親指,thumb
通り過ぎる,"go past, pass"
屋上,"housetop, rooftop"
蓋,"lid, cover"
いつの間にか,"before noticing it, out of nowhere"
象,elephant
嫌がる,"dislike, be unwilling"
わがまま,selfish
徹夜,staying up all night
まあまあ,"now now, well well"
ふざける,"mess around, fool around"
一度に,"all at once, at a time"
頷く,nod
改札,ticket gate
手伝い,"help, assistance"
とっくに,"long ago, already"
洗剤,detergent
手首,wrist
日帰り,a day trip
取り消す,cancel
あきれる,"be amazed at, be stunned by (something negative)"
月末,end of the month
咳,cough
あいにく,"unfortunately, we are afraid that"
近寄る,"go near, approach"
うろうろ,"in a loafing-about manner, not really knowing what to do"
重たい,"heavy, serious"
かじる,"nibble, bite"
長引く,"be prolonged, drag on"
せっせと,"diligently, hard"
横切る,cut across
取り替える,"change, replace"
からかう,"make fun of, tease"
好き嫌い,"likes and dislikes, taste"
蒸し暑い,hot and humid
支度,"preparation, getting ready"
薄暗い,"gloomy, dim"
着替え,change of clothes
ワンピース,one-piece dress
生年月日,year and date of birth
虫歯,cavity
留守番,looking after the house
張り切る,"go all out, be full of energy (to do something)"
意地悪,"mean, ill-natured"
生意気,"impudent, cocky"
シーツ,bed sheet
フライパン,frying pan
一人一人,each and every person
話し掛ける,"start a conversation, speak to (someone)"
追い掛ける,"chase, run after"
小指,"little finger, little toe"
ぴかぴか,"shiny, glittering"
中指,"middle finger, middle toe"
まぶた,eyelid
面倒臭い,"troublesome, tiresome"
ゆでる,boil
できるだけ,as (much) as possible
もしかしたら,"possibly, perhaps"
いつまでも,forever
まぶしい,"dazzling, glaring"
おやつ,"snack, refreshment"
空っぽ,empty
ぶつぶつ,"in a mutter, mumble"
すっと,"(feel) refreshed, satisfied"
図々しい,"impudent, cheeky"
にっこり,smiling brightly
けち,"stingy, miser"
追い付く,catch up with
くしゃみ,sneeze
冷ます,let cool
だらしない,"untidy, sloppy"
甘やかす,"be indulgent to, spoil"
いらいら,irritated
薬指,ring finger
のろのろ,"slowly, sluggishly"
ポイント,point
工業,"industry, the manufacturing industry"
構造,"construction, structure"
さすが,"just as expected, true to reputation"
居眠り,"doze, catnap"
散らかす,make a mess
濡らす,get (something) wet
日にち,date (fixed for something)
苛める,"bully, abuse"
足下,"step, under foot"
うさぎ,"rabbit, hare"
紺,"dark blue, navy blue"
目茶苦茶,"in a mess, chaotic"
立ち入り禁止,no trespassing
間もなく,"soon, in a short time"
通帳,"bankbook, passbook"
しびれる,"go numb, fall asleep"
ぎっしり,"tightly, closely"
うがい,gargling
思い付く,"think of, hit upon"
宛名,"name of recipient, addressee"
戸棚,cupboard
焦げる,"be burned, be scorched"
かく,scratch
威張る,"be arrogant, be boastful"
人混み,crowd
ずらり,lining up neatly
思い切り,"to one’s heart’s content, with all one’s might"
青白い,pale
しゃがむ,squat down
言葉遣い,"wording, language"
通り掛かる,happen to pass by
御無沙汰,be out of touch
市場,"market (industrial, financial, etc.)"
データ,data
購入,purchase
ビジネス,business
俺,I (masculine sense)
登録,registration
体験,personal experience
デザイン,design
負担,"burden, charge"
詳細,"details, particulars"
アップ,close-up
終了,"end, termination"
ファン,"fan, admirer"
予想,"expectation, forecast"
企画,"planning, project"
財政,"public finance, financial affairs"
総合,"integration, put together"
ケース,case
メーカー,"maker, manufacturer"
治療,medical treatment
読者,reader
職員,"staff, employee"
世代,generation
視点,"viewpoint, perspective"
効率,"efficiency, performance"
資産,"property, assets"
取り組む,"work on, tackle"
ルール,rule
資格,"qualifications, competence"
成果,result
前提,"assumption, premise"
現地,"local, on-site"
内部,"interior, inner parts"
所得,"income, earnings"
恋愛,"romance, relationship"
支持,support
危機,"crisis, danger"
マスコミ,"mass media, media"
証拠,"proof, evidence"
コーナー,"section (of a store etc.), corner"
マーク,logo
減少,"decrease, decline"
緊急,"urgent, emergency"
要望,"demand, request"
ストレス,stress
主催,"sponsorship, host"
ベスト,best
犠牲,"sacrifice, loss"
暴力,"violence, force"
赤字,"deficit, in the red"
個性,"individuality, unique characteristics"
作戦,"tactic, strategy"
ショック,shock
アンケート,questionnaire
わざわざ,going out of one’s way to do something
本気,"serious, earnest"
悩み,"troubles, worries"
上司,boss
説得,persuasion
ブーム,"fad, boom"
体力,"physical strength, stamina"
正常,normal
ヒント,"hint, clue"
地獄,hell
後悔,regret
情熱,"passion, enthusiasm"
驚き,"surprise, amazement"
ジャンプ,jump
アルコール,"alcohol, alcoholic beverage"
いい加減,"irresponsible, careless"
わくわく,"feel excited, be thrilled"
言い訳,excuse
ミュージック,music
青春,"blossom of youth, adolescence"
あっさり,"bluntly, easily"
焦る,"feel pressured, feel hurried"
柔軟,"pliable, flexible"
タレント,"celebrity, TV personality"
どうにか,somehow
コンテスト,"contest, competition"
もてる,be popular (esp. with the opposite sex)
デザート,dessert
クイズ,"quiz, quiz show"
中毒,"poisoning, addiction"
ムード,mood
同情,"sympathy, compassion"
学歴,educational background
好調,good condition
アマチュア,amateur
炒める,stir-fry
カメラマン,photographer
問い合わせる,"inquire, ask for (information)"
しょっちゅう,"frequently, repeatedly"
ロープ,rope
ストライキ,strike
パンク,flat tire
コマーシャル,"commercial, advertising"
チェンジ,"change, exchange"
待ち合わせ,"meeting with someone, appointment"
時差,time difference
義理,"sense of duty, obligation"
さっと,quickly
左利き,left-handedness
サボる,"slack of, ditch"
だるい,"feel run-down, weary"
ポット,"pot, thermos"
レントゲン,X-rays
心強い,"reassuring, heartening"
無駄遣い,wasteful spending
バッジ,badge
眼科,"ophthalmology, eye clinic"
履歴書,"resume, curriculum vitae"
インフレーション,inflation
癌,cancer
ぺこぺこ,"bow, kowtow"
嘘つき,liar
おごる,"treat, pay for (someone)"
十字路,crossroads
びっしょり,"drenched, soaked"
だぶだぶ,"baggy, too big"
おだてる,flatter
かかと,heel
ほっと,feel relieved
傷付ける,"hurt (someone), damage (something)"
うつむく,"look down, lower one’s eyes"
前売り券,advance ticket
短期,short-term
舐める,lick
本日,today (formal)
業界,"industry, business world"
ネットワーク,network
弁護士,"lawyer, attorney"
入力,"input, entry"
前回,last time
画面,screen
後半,"latter half, second half"
自信,confidence
素敵,"lovely, nice"
当たり前,"no wonder, natural"
やり方,way of doing
わずか,"meager, marginal"
ついに,"at last, at length"
次回,next time
スピード,speed
バイト,part-time job
不可能,impossible
アドバイス,advice
落ち着く,"calm down, settle in"
せっかく,with much trouble
つい,"inadvertently, carelessly"
大手,major company
部長,department head
前半,first half
たまたま,"by chance, accidentally"
相変わらず,"as usual, as before"
支払い,payment
人数,number of people
課長,section chief
ファッション,fashion
体調,health condition
付き合う,"socialize with, see (someone)"
ショッピング,shopping
あり,ant
最悪,worst
かえる,frog
おじさん,"Mister, middle-aged man"
得,"advantage, gain"
掴む,"grip, grab"
知り合い,acquaintance
ペース,pace
作成,"to produce, to make"
親子,parent and child
話し合い,"talk, discussion"
本社,head office of a company
打ち合わせ,"meeting, arrangement"
見守る,"watch, keep watch over"
売り上げ,"sales, proceeds"
かえって,"rather, instead"
アイドル,idol
何となく,for some reason
年末,end of year
無意識,"unconsciously, unintentionally"
駅前,in front of the station
やって来る,come all the way
キッチン,kitchen
キス,kiss
慌てる,"be flustered, be in a hurry"
都内,in the metropolitan area of Tokyo
残業,overtime work
曖昧,"ambiguous, vague"
カタログ,catalogue
殴る,"hit, punch"
両手,both hands
仲良く,"harmoniously, getting along"
始め,"beginning, initial part"
知り合う,"get acquainted with, get to know (someone)"
お手伝い,"help, assistance (polite)"
マナー,manners
カラオケ,karaoke
二度と,never again
片手,one hand
おばさん,middle-aged woman
保育園,"day-care center, nursery school"
ずれる,"go off track, go out of line"
ビーチ,beach
せいぜい,"at most, at best"
後期,"latter term, second half"
エアコン,"air-conditioning, air conditioner"
ゆったり,"comfortable, easy fit"
ハードウェア,hardware
リクエスト,request
翌年,the following year
キャンセル,cancellation
車内,inside a vehicle or a train
大声,loud voice
無責任,irresponsible
片方,"one side, the other one"
ボリューム,volume
前方,"front, ahead"
日本酒,Japanese rice wine
青空,blue sky
不自然,"unnatural, artificial"
昨晩,"last night, last evening (formal)"
市役所,"municipal office, city hall"
フルーツ,fruit
年々,year by year
後方,"back, rear"
お詫び,"apologize, apology"
大根,oriental radish
むく,peel (something)
例年,"typical year, average year"
締め切り,deadline
正に,"just, surely"
蛇,snake
ラッシュ,"rush, rush hour"
大げさ,exaggerated
無理やり,"forcibly, against one’s will"
外食,"eating out, dining out"
キャベツ,cabbage
手足,"hands and feet, limbs"
閉店,shop closing
百貨店,department store
クッキー,cookie
車椅子,wheelchair
大雨,heavy rain
鳩,"pigeon, dove"
中級,"middle-class, intermediate"
おにぎり,rice ball
ひょっとしたら,perhaps
ぐるぐる,round and round
和食,Japanese-style food
どく,"get out of the way, step aside"
ウエスト,waist
忘年会,year-end party
包丁,kitchen knife
ゴールデンウィーク,golden week
シューズ,shoes
未成年,"minor, underage"
甥,nephew
葉っぱ,leaf
やり直す,do over again
大晦日,new year’s eve
サングラス,sunglasses
病人,sick person
顔色,"complexion, facial expression"
金色,golden color
にらむ,"glare, stare"
つかまる,hold on to (something)
足首,ankle
散らかる,"be in a mess, lie scattered"
上がる,get nervous
かぼちゃ,pumpkin
水族館,aquarium
品切れ,sold out
腫れる,"swell up, be swollen"
やり直し,"doing over, redoing"
バーゲン,bargain sale
男らしい,"manly, masculine"
近道,shortcut
トースト,toast
好奇心,curiosity
